Código región,Región,Inmigrantes internacionales,Hombres,Mujeres,Razón hombre-mujer,Lugar de nacimiento no declarado
0,País,1608650.0,776388.0,832262.0,93.3,113061.0
15,Arica y Parinacota,36188.0,17044.0,19144.0,89.0,2010.0
1,Tarapacá,84935.0,39736.0,45199.0,87.9,3019.0
2,Antofagasta,124006.0,57501.0,66505.0,86.5,4660.0
3,Atacama,25167.0,11942.0,13225.0,90.3,1944.0
4,Coquimbo,44578.0,21515.0,23063.0,93.3,4394.0
5,Valparaíso,100655.0,49687.0,50968.0,97.5,13402.0
13,Metropolitana de Santiago,964835.0,465961.0,498874.0,93.4,56931.0
6,Libertador General Bernardo O'Higgins,49272.0,24534.0,24738.0,99.2,3771.0
7,Maule,42349.0,21328.0,21021.0,101.5,4425.0
16,Ñuble,10934.0,5358.0,5576.0,96.1,1704.0
8,Biobío,46933.0,23121.0,23812.0,97.1,3800.0
9,La Araucanía,21077.0,10338.0,10739.0,96.3,5051.0
14,Los Ríos,7508.0,3752.0,3756.0,99.9,1845.0
10,Los Lagos,35285.0,17632.0,17653.0,99.9,4485.0
11,Aysén del General Carlos Ibáñez del Campo,3931.0,1878.0,2053.0,91.5,550.0
12,Magallanes y de la Antártica Chilena,10997.0,5061.0,5936.0,85.3,1070.0
