Código región,Región,Población censada,Hombres,Mujeres,Razón hombre-mujer
0,País,18480432.0,8967033.0,9513399.0,94.3
15,Arica y Parinacota,244569.0,120381.0,124188.0,96.9
1,Tarapacá,369806.0,183343.0,186463.0,98.3
2,Antofagasta,635416.0,313995.0,321421.0,97.7
3,Atacama,299180.0,148263.0,150917.0,98.2
4,Coquimbo,832864.0,404397.0,428467.0,94.4
5,Valparaíso,1896053.0,913643.0,982410.0,93.0
13,Metropolitana de Santiago,7400741.0,3582833.0,3817908.0,93.8
6,Libertador General Bernardo O'Higgins,987228.0,483948.0,503280.0,96.2
7,Maule,1123008.0,545255.0,577753.0,94.4
16,Ñuble,512289.0,246437.0,265852.0,92.7
8,Biobío,1613059.0,775495.0,837564.0,92.6
9,La Araucanía,1010423.0,486718.0,523705.0,92.9
14,Los Ríos,398230.0,192734.0,205496.0,93.8
10,Los Lagos,890284.0,437269.0,453015.0,96.5
11,Aysén del General Carlos Ibáñez del Campo,100745.0,49841.0,50904.0,97.9
12,Magallanes y de la Antártica Chilena,166537.0,82481.0,84056.0,98.1
