Código región,Región,poblacion_total,poblacion_migrante,porcentaje
0,País,18480432.0,1608650.0,8.7
15,Arica y Parinacota,244569.0,36188.0,14.8
1,Tarapacá,369806.0,84935.0,22.97
2,Antofagasta,635416.0,124006.0,19.52
3,Atacama,299180.0,25167.0,8.41
4,Coquimbo,832864.0,44578.0,5.35
5,Valparaíso,1896053.0,100655.0,5.31
13,Metropolitana de Santiago,7400741.0,964835.0,13.04
6,Libertador General Bernardo O'Higgins,987228.0,49272.0,4.99
7,Maule,1123008.0,42349.0,3.77
16,Ñuble,512289.0,10934.0,2.13
8,Biobío,1613059.0,46933.0,2.91
9,La Araucanía,1010423.0,21077.0,2.09
14,Los Ríos,398230.0,7508.0,1.89
10,Los Lagos,890284.0,35285.0,3.96
11,Aysén del General Carlos Ibáñez del Campo,100745.0,3931.0,3.9
12,Magallanes y de la Antártica Chilena,166537.0,10997.0,6.6
